fecha,hora,co_centenario,no2_centenario,pm10_centenario,co_cordoba,no2_cordoba,pm10_cordoba,co_la_boca,no2_la_boca,pm10_la_boca
2019-01-01,1,0.46,7,19,0.36,11,s/d,0.48,10,23
2019-01-01,2,0.47,9,19,0.41,13,s/d,0.46,11,23
2019-01-01,3,0.48,11,19,0.46,12,s/d,0.46,12,23
2019-01-01,4,0.48,16,19,0.50,10,s/d,0.46,11,24
2019-01-01,5,0.46,10,19,0.54,10,s/d,0.45,9,24
2019-01-01,6,0.42,13,19,0.58,9,s/d,0.44,8,24
2019-01-01,7,0.40,14,19,0.60,9,s/d,0.44,9,25
2019-01-01,8,0.38,11,19,0.62,7,s/d,0.42,9,24
2019-01-01,9,0.37,8,20,0.61,7,s/d,0.43,8,24
2019-01-01,10,0.36,4,19,0.59,6,s/d,0.43,8,24
2019-01-01,11,0.36,4,19,0.57,6,s/d,0.44,5,23
2019-01-01,12,0.36,5,18,0.57,6,s/d,0.44,6,23
2019-01-01,13,0.36,4,18,0.56,6,s/d,0.44,5,23
2019-01-01,14,0.37,9,19,0.56,9,s/d,0.45,7,23
2019-01-01,15,0.38,11,19,0.57,9,s/d,0.45,7,24
2019-01-01,16,0.39,11,19,0.58,11,s/d,0.46,7,24
2019-01-01,17,0.40,8,19,0.59,8,s/d,0.46,7,24
2019-01-01,18,0.42,14,19,0.60,8,s/d,0.48,10,23
2019-01-01,19,0.44,22,19,0.62,10,s/d,0.51,12,23
2019-01-01,20,0.46,13,19,0.64,10,s/d,0.53,10,22
2019-01-01,21,0.48,12,18,0.65,11,s/d,0.54,9,22
2019-01-01,22,0.49,13,17,0.66,19,s/d,0.56,11,22
2019-01-01,23,0.50,14,17,0.66,9,s/d,0.58,10,23
2019-01-01,24,0.51,11,16,0.66,7,s/d,0.58,8,22
2019-01-02,1,0.50,7,16,0.66,7,s/d,0.58,10,22
2019-01-02,2,0.49,6,15,0.67,7,s/d,0.57,7,21
2019-01-02,3,0.47,8,15,0.67,7,s/d,0.55,8,21
2019-01-02,4,0.45,7,14,0.68,6,s/d,0.54,7,20
2019-01-02,5,0.42,8,14,0.68,7,s/d,0.54,8,20
2019-01-02,6,0.41,9,13,0.69,8,s/d,0.53,12,19
2019-01-02,7,0.39,14,13,0.69,11,s/d,0.54,13,19
2019-01-02,8,0.39,12,13,0.71,11,s/d,0.56,12,20
2019-01-02,9,0.41,13,13,0.72,11,s/d,0.58,12,20
2019-01-02,10,0.43,14,13,0.73,13,s/d,0.61,15,20
2019-01-02,11,0.47,11,13,0.76,13,s/d,0.64,14,20
2019-01-02,12,0.48,12,12,0.79,19,s/d,0.66,20,20
2019-01-02,13,0.51,s/d,13,0.82,20,s/d,0.70,26,22
2019-01-02,14,0.51,s/d,14,0.88,23,s/d,0.71,17,23
2019-01-02,15,0.52,15,14,0.96,26,s/d,0.70,17,22
2019-01-02,16,0.53,19,13,1.02,22,s/d,0.69,15,21
2019-01-02,17,0.54,17,13,1.10,26,s/d,0.68,19,21
2019-01-02,18,0.55,24,13,1.18,33,s/d,0.69,19,20
2019-01-02,19,0.54,26,12,1.27,33,s/d,0.69,20,18
2019-01-02,20,0.54,22,13,1.30,28,s/d,0.68,22,18
2019-01-02,21,0.52,21,14,1.32,25,s/d,0.66,27,18
2019-01-02,22,0.52,18,14,1.30,22,s/d,0.66,24,17
2019-01-02,23,0.49,16,14,1.26,22,s/d,0.66,23,16
2019-01-02,24,0.44,10,13,1.21,16,s/d,0.65,20,16
2019-01-03,1,0.38,4,13,1.13,11,s/d,0.61,27,16
2019-01-03,2,0.31,4,14,1.02,10,s/d,0.56,10,16
2019-01-03,3,0.24,3,14,0.91,9,s/d,0.50,7,16
2019-01-03,4,0.18,4,15,0.82,18,s/d,0.44,7,17
2019-01-03,5,0.13,3,15,0.76,25,s/d,0.39,8,17
2019-01-03,6,0.09,5,15,0.71,16,s/d,0.33,12,17
2019-01-03,7,0.06,8,15,0.67,19,s/d,0.29,14,17
2019-01-03,8,0.05,11,15,0.67,22,s/d,0.25,12,17
2019-01-03,9,0.05,11,16,0.69,26,s/d,0.24,11,17
2019-01-03,10,0.06,10,16,0.73,24,s/d,0.23,8,16
2019-01-03,11,0.08,10,16,0.75,21,s/d,0.23,9,16
2019-01-03,12,0.10,11,16,0.80,24,s/d,0.24,14,17
2019-01-03,13,0.13,11,16,0.82,21,s/d,0.25,13,14
2019-01-03,14,0.15,10,15,0.84,21,s/d,0.26,16,12
2019-01-03,15,0.17,11,15,0.85,27,s/d,0.27,18,14
2019-01-03,16,0.18,18,15,0.80,23,s/d,0.28,18,16
2019-01-03,17,0.19,21,16,0.75,24,s/d,0.29,18,17
2019-01-03,18,0.21,20,16,0.70,24,s/d,0.31,17,18
2019-01-03,19,0.22,20,16,0.69,24,s/d,0.33,19,19
2019-01-03,20,0.23,27,16,0.66,27,s/d,0.33,22,20
2019-01-03,21,0.24,29,16,0.64,24,s/d,0.34,26,19
2019-01-03,22,0.26,29,16,0.64,27,s/d,0.36,21,19
2019-01-03,23,0.27,25,16,0.64,25,s/d,0.37,23,19
2019-01-03,24,0.27,21,17,0.64,19,s/d,0.37,21,19
2019-01-04,1,0.27,12,17,0.64,12,s/d,0.37,16,19
2019-01-04,2,0.25,10,17,0.63,13,s/d,0.37,15,19
2019-01-04,3,0.22,10,16,0.60,12,s/d,0.36,13,19
2019-01-04,4,0.19,8,16,0.57,6,s/d,0.35,21,19
2019-01-04,5,0.17,9,16,0.55,6,s/d,0.34,19,19
2019-01-04,6,0.14,11,16,0.53,9,s/d,0.33,17,19
2019-01-04,7,0.13,12,16,0.50,14,s/d,0.34,16,19
2019-01-04,8,0.13,14,16,0.51,13,s/d,0.36,15,20
2019-01-04,9,0.15,17,15,0.51,15,s/d,0.37,18,20
2019-01-04,10,0.18,21,16,0.53,18,s/d,0.39,26,20
2019-01-04,11,0.22,19,17,0.55,20,s/d,0.41,22,21
2019-01-04,12,0.26,22,17,0.58,20,s/d,0.43,25,22
